username,batch_id,narratives,attacked_entities,protected_entities,toxicity_level,toxic_examples,emotional_tones,stated_goals,psychological_profile,confidence_ratings,confidence_explanation,security_vs_judicial,security_vs_economic,government_oversight,individual_vs_collective,international_law_refs,defense_budget_priority,executive_powers,judicial_vs_security,emergency_restrictions,domestic_vs_international
AmiadCohen,0,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Kohelet Forum', 'Labor unions', 'Judicial oversight']","['Benjamin Netanyahu', 'Yariv Levin', 'Religious Zionism Party']",75,"['אם תהיתם לעצמכם איך נשמעו הקולות הראשונים של מהפכת התרבות של מאו דזה דונג ב1966, אז ככה...', 'הדס שטייף היא לא יותר מלוביסטית של החברים שלה במטרה לקבל מהם הדלפות בהמשך.']","['cynical', 'frustrated']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","Highly ideological, with a strong belief in free-market economics and reduced government regulation. Defensive of Israel's Jewish identity and critical of perceived threats to it.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, indicating a priority on reshaping the legal system over national security concerns.', 'score': 80}","{'analysis': 'The majority of policy posts appear to be centered on economic and judicial issues, with less emphasis on national security matters.', 'score': 70}","{'analysis': 'The tone towards government oversight is highly critical, with a clear desire to reduce the power and influence of the judiciary over the legislative and executive branches.', 'score': 8}","{'analysis': 'The tweets demonstrate a stronger emphasis on collective security and national identity over individual rights and liberties.', 'score': 6}","{'analysis': 'There are limited references to international law, suggesting a focus on domestic policy over international legal frameworks.', 'score': -20}","{'analysis': 'The tweets do not indicate a clear position on defense spending, with the focus remaining on economic and judicial reforms.', 'score': 5}","{'analysis': 'The tweets express support for reducing judicial oversight and strengthening parliamentary power, which could imply a desire for increased executive authority.', 'score': 3}","{'analysis': 'The tweets prioritize judicial reform over security-related issues, indicating a stronger focus on reshaping the legal system than addressing national security concerns.', 'score': 80}","{'analysis': 'The tweets do not directly address the issue of civil liberties during emergency situations, suggesting a lack of clear position on this topic.', 'score': 5}","{'analysis': 'The tweets concentrate on domestic policy issues, with limited references to international relations or foreign policy concerns.', 'score': 80}"
AmiadCohen,1,"['Criticizing judicial overreach and lack of democratic accountability', 'Advocating for parliamentary supremacy and reduced judicial oversight', ""Promoting Israel's identity as a Jewish nation-state""]","['Aharon Barak', 'Gali Baharav-Miara', 'Israeli Supreme Court']","['Kohelet Forum', 'Simcha Rothman', 'Yariv Levin']",70,"['מאחורי הפילפולים המשפטיים של גלי בהרב מיארה, התומכת בביטול חוק יסוד, מסתתר מסר ברוטאלי לאזרחי ישראל: הדמוקרטיה שלכם סיימה את תפקידה', 'היום, שופטים שלא נבחרו על ידי הציבור, הולכים לדון, האם פקידה, שלא נבחרה על ידי הציבור, יכולה לפטר באופן שרירותי ראש ממשלה, שכן נבחר על ידי הציבור. וכל זה בקריאות רקע קצובות ואחידות של דמו-קרט-יה. אפילו גורג אורוול לא הצליח להמציא את זה']","['cynical', 'frustrated']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]",Highly critical of the judiciary and supportive of reducing its influence in favor of greater parliamentary control and advancing Israel's Jewish national identity,"{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform and reducing judicial oversight than on security-related issues.', 'score': 80}","{'analysis': 'The majority of the posts are focused on judicial and legal issues, with less emphasis on economic or national security policies.', 'score': 30}","{'analysis': 'The tone towards government oversight, particularly of the judiciary, is highly critical, advocating for reduced oversight and increased parliamentary power.', 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights, emphasizing the supremacy of the parliamentary majority over judicial oversight.', 'score': 7}","{'analysis': 'There are no explicit references to international law in the tweets, which focus on domestic legal and political issues.', 'score': 0}","{'analysis': 'The tweets do not discuss defense spending or military issues, focusing instead on judicial reform and the role of the state.', 'score': 3}","{'analysis': 'The tweets advocate for increased parliamentary power and reduced judicial oversight, which could imply a shift towards greater executive authority, but this is not explicitly stated.', 'score': 3}","{'analysis': 'The tweets are overwhelmingly focused on judicial reform and reducing the power of the judiciary, with little to no discussion of security-related issues.', 'score': 90}","{'analysis': 'The tweets do not directly address the issue of civil liberties during emergency situations, focusing instead on the balance of power between the judiciary and the legislature.', 'score': 5}","{'analysis': 'The tweets are entirely focused on domestic Israeli political and legal issues, with no references to international relations or foreign policy.', 'score': 100}"
AmiadCohen,2,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Supreme Court', 'Labor unions', 'Government regulation']","['Kohelet Forum', 'Gideon Saar', 'Judicial reform']",75,"['הלוואי וצה', 'ץ. אולי חיזבאללה לא היה עושה בשטח ישראל מה בראש שלו.', 'אם הם מדברים כמו פשסטים עם סמלים של פשיסטים ורק להם מותר לדבר, כמו אצל פשיסטים אז מה זה אומר עליהם?']","['cynical', 'angry']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","Strongly ideological, distrustful of the judiciary and government regulation, and supportive of a nationalist, free-market agenda","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a heavy emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 80}","{'analysis': 'The majority of policy posts are focused on economic and judicial issues, with less emphasis on national security concerns.', 'score': 70}","{'analysis': ""The tone towards government oversight is highly critical, with a clear desire to reduce the judiciary's ability to check the power of the legislative and executive branches."", 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights, with a focus on reducing judicial oversight and increasing parliamentary power.', 'score': 7}","{'analysis': 'There are no direct references to international law in the tweets, suggesting a focus on domestic policy over international considerations.', 'score': -50}","{'analysis': 'The tweets do not discuss defense spending or military issues, suggesting these are not a high priority for the Kohelet Forum.', 'score': 3}","{'analysis': 'The tweets advocate for reducing judicial oversight and strengthening parliamentary power, which could be interpreted as a desire to increase executive branch authority.', 'score': 3}","{'analysis': 'The tweets place a much greater emphasis on judicial reform than on security issues, with the former being a central focus and the latter largely absent.', 'score': 80}","{'analysis': ""The tweets do not directly address civil liberties or emergency powers, suggesting the Kohelet Forum's primary focus is on judicial and economic reforms rather than security-related issues."", 'score': 4}","{'analysis': 'The tweets are almost entirely focused on domestic Israeli politics and policy, with little to no discussion of international relations or foreign policy.', 'score': 90}"
AmiadCohen,3,"['Promoting free-market economics and reduced government regulation', ""Advocating for Israel's identity as a Jewish nation-state"", 'Supporting reduced judicial oversight and stronger parliamentary power']","['Kohelet Forum', 'Benjamin Netanyahu', 'Yair Lapid']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",70,"['אתם מריחים את זה? עשן הצמיגים.. ובכן, ככה מריח ייאוש. זה ריחה של מחאה מצטמקת ונרקבת שראשיה המופקרים מחליפים כמות באלימות ב…', 'הימין חשד במניעים של הפרקליטות מהיום הראשון. אני מקווה שהיום השמאל גם מטיל ספק תמריצים שבחקירת נבחרי ציבור. הפתרון להשבת האמון הוא הגשת כתב אישום של נבחר ציבור אל מול חבר מושבעים במקום היועמ']","['cynical', 'frustrated']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","The user exhibits a strong ideological stance, defending the Kohelet Forum's agenda of reducing government regulation, promoting Israel's Jewish identity, and limiting judicial oversight. The tone is often cynical and frustrated towards perceived political opponents.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, indicating a stronger emphasis on the former.', 'score': 70}","{'analysis': 'The majority of policy posts appear to focus on judicial and economic issues, with less emphasis on national security concerns.', 'score': 60}","{'analysis': 'The tone towards government oversight, particularly the judiciary, becomes increasingly critical, advocating for reduced oversight and stronger parliamentary power.', 'score': 8}","{'analysis': 'The tweets demonstrate a shift in emphasis from individual rights towards collective security and the interests of the Jewish nation-state, as promoted by the Kohelet Forum.', 'score': 6}","{'analysis': 'There are limited references to international law, with a focus on promoting a nationalist, Israel-centric agenda.', 'score': -40}","{'analysis': 'The tweets do not indicate a significant change in the priority given to defense spending, with the focus remaining on economic and judicial reforms.', 'score': 5}","{'analysis': 'The tweets suggest a growing acceptance of expanded executive powers, particularly in the context of reducing judicial oversight and strengthening the role of the parliament.', 'score': 3}","{'analysis': 'The tweets place a much stronger emphasis on judicial reform compared to security-related issues, indicating that the former is a higher priority for the Kohelet Forum.', 'score': 80}","{'analysis': 'The tweets do not provide clear evidence of a shift in attitude towards civil liberties during emergency situations, with the focus remaining on judicial and economic reforms.', 'score': 5}","{'analysis': 'The tweets primarily address domestic policy issues, with limited references to international relations or the global context.', 'score': 80}"
AmiadCohen,4,"['Advocating for reduced judicial oversight and stronger parliamentary power', ""Promoting Israel's identity as a Jewish nation-state"", 'Opposing labor unions and supporting privatization']","['Benny Gantz', 'Yair Lapid', 'Supreme Court']","['Simcha Rothman', 'Yariv Levin', 'Kohelet Forum']",75,"['אתה מניח שהחרדים יראו אותו דבר. אני כופר בהנחה הזאת', 'האמירות האלה נוראיות. אני כן מנסה להשפיע על מה אתם חושבים כי אני מאמין בשיח וברעיונות, אבל כל זה לא קשור לרפורמה']","['cynical', 'frustrated']","[""Promoting Israel's Jewish identity"", 'Reducing judicial oversight and increasing parliamentary power']","Strongly ideological, resistant to opposing views, and willing to use confrontational rhetoric to defend their political agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets show a higher frequency of terms related to judicial reform compared to security-related terms.', 'score': 70}","{'analysis': 'The majority of the tweets focus on judicial reform and economic issues, with relatively fewer references to national security.', 'score': 30}","{'analysis': 'The tweets express a clear desire to reduce judicial oversight and increase parliamentary power, indicating a shift towards less government oversight.', 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights, suggesting a shift towards emphasizing collective security over individual liberties.', 'score': 7}","{'analysis': 'There are no direct references to international law in the tweets, indicating a lack of emphasis on this aspect.', 'score': -80}","{'analysis': 'The tweets do not directly address defense spending, suggesting it is not a primary focus of the group.', 'score': 3}","{'analysis': 'The tweets express a desire to reduce judicial oversight and increase parliamentary power, which could imply a shift towards greater executive powers during emergencies.', 'score': 3}","{'analysis': 'The tweets overwhelmingly focus on judicial reform, with little to no mention of security-related reforms.', 'score': 90}","{'analysis': 'The tweets do not directly address civil liberties during emergency situations, but the overall emphasis on reducing judicial oversight could suggest a willingness to restrict civil liberties if deemed necessary.', 'score': 6}","{'analysis': 'The tweets primarily focus on domestic policy issues, with little to no mention of international relations or foreign policy.', 'score': 90}"
AmiadCohen,5,"['Promoting parliamentary power over judicial oversight', 'Advocating for free-market economics and reduced government regulation', ""Defending Israel's identity as a Jewish nation-state""]","['Benny Gantz', 'Yair Lapid', 'Supreme Court of Israel']","['Benjamin Netanyahu', 'Simcha Rothman', 'Yariv Levin']",70,"['אני מבין שאדוני לא דמוקרט, ומאמין בשלטון סמכותני של מיעוט אליטיסטי על המון נבער?', 'כל המהלכים האלה מטופשים וסוציאל פופוליסטים. ככלל, הפוליטיקה הישראלית לא קוהורנטית ומורכבת מאנשים בינונים במקרה טווב ואני עדיין מעדיף אותה על פני שלטון בגץ כי לציבור יש יכולת להשפיע ולתקן.']","['cynical', 'frustrated']","['Reduce judicial oversight and strengthen parliamentary power', ""Promote Israel's identity as a Jewish nation-state""]","Strongly ideological, distrustful of the judiciary and supportive of a more nationalist, free-market agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security-related issues, with a greater emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 80}","{'analysis': 'The tweets prioritize economic and judicial issues over national security, with a strong focus on free-market policies and reducing government regulation.', 'score': 70}","{'analysis': 'The tweets express a clear distrust of government oversight, particularly by the judiciary, and a desire to shift power towards the legislative branch.', 'score': 8}","{'analysis': 'The tweets prioritize the collective identity of Israel as a Jewish nation-state over individual rights, with a focus on reducing judicial oversight and increasing parliamentary power.', 'score': 7}","{'analysis': 'The tweets do not make any direct references to international law, suggesting a focus on domestic policy and a disregard for international norms.', 'score': -80}","{'analysis': 'The tweets do not address defense spending or military issues, suggesting a greater focus on economic and judicial reforms.', 'score': 3}","{'analysis': 'The tweets express a desire to limit the power of the judiciary, which could imply a shift towards greater executive authority during emergencies, but this is not directly stated.', 'score': 2}","{'analysis': 'The tweets prioritize judicial reform over security-related issues, with a strong emphasis on reducing judicial oversight and strengthening parliamentary power.', 'score': 90}","{'analysis': 'The tweets do not directly address civil liberties or emergency restrictions, but the focus on reducing judicial oversight could suggest a willingness to limit individual rights during crises.', 'score': 6}","{'analysis': 'The tweets focus almost exclusively on domestic Israeli politics and policy, with little to no mention of international relations or foreign policy.', 'score': 90}"
ptr_dvd,0,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', ""Defending Israel's identity as a Jewish nation-state""]","['Kohelet Forum', 'Aaron Barak', 'International law experts']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",70,"[""בורות וניתוק היסטורי מזוקקים כמו יהלום לציוץ. הרי היהודים היו שוב ושוב ושוב במצבים קשים לאין שיעור במשך קרוב לאלפיים שנה. ולא ראינו צמיחה של תרבות טרור וצימאון לדמם של חפים מפשע. פרופ' למשפט בין לאומי בלי הקשר היסטורי או פרספקטיבה. בעצם האמת שזה מאוד מתאים לאנשי משפט בין לאומי."", 'מוסרית מדובר במעשה מתועב ושפל. אך יש קשיים תאורטיים לא מבוטלים ביישום הפללה של שקרים שקודמים ליחסי מין. קו הגבול בין מעשה פלילי ללא פלילי כלל לא ניתן לשירטוט ויש אינדיקציות ליישום בפועל בעיקר במקרים של גברים בני מיעוטים ואוכלוסיות שוליים שמתחזים לשכבות הגבוהות. ראוי לדיון ציבורי.']","['cynical', 'frustrated']","[""Promoting Israel's identity as a Jewish nation-state"", 'Reducing judicial oversight and strengthening parliamentary power']","The user exhibits a strong ideological stance in favor of the Kohelet Forum's agenda, which includes reducing government regulation, weakening judicial oversight, and strengthening Israel's Jewish national identity. The tone is often cynical and frustrated towards perceived opponents of this agenda.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'analysis text', 'score': 60}","{'analysis': 'analysis text', 'score': 30}","{'analysis': 'analysis text', 'score': 8}","{'analysis': 'analysis text', 'score': 5}","{'analysis': 'analysis text', 'score': -60}","{'analysis': 'analysis text', 'score': 7}","{'analysis': 'analysis text', 'score': 3}","{'analysis': 'analysis text', 'score': 80}","{'analysis': 'analysis text', 'score': 6}","{'analysis': 'analysis text', 'score': 20}"
ptr_dvd,1,"['Promoting judicial reform and reduced government oversight', 'Advocating for free-market economics and privatization', 'Defending the Jewish nation-state identity of Israel']","['Kohelet Forum', 'Aharon Barak', 'European Court of Human Rights']","['Simcha Rothman', 'Yariv Levin', 'Religious Zionism Party']",75,"['כדאי להבחין שכשהם אומרים עצמאות הם מתכוונים השתחררות מהחוק', ""כל הברברת על קיומו של אלוהים, אתאיזם, דטרמיניזם, חירות, החברה האנושית, מוות וכו', אלו רק כלים על לוח השחמט שנקרא שפה. והם מהנים רק אם אדם לא מעסיק עצמו בניצחון או הפסד""]","['cynical', 'frustrated']","[""Promoting Israel's Jewish nation-state identity"", 'Reducing judicial oversight and increasing parliamentary power']","Highly ideological, distrustful of the judiciary and international institutions, and seeking to advance a nationalist, free-market agenda through political and legal means.","{'narratives_confidence': 70, 'attacked_entities_confidence': 70, 'protected_entities_confidence': 70, 'emotional_tones_confidence': 70, 'stated_goals_confidence': 70, 'overall_confidence': 70}",Analysis completed with moderate confidence due to available data,"{'analysis': 'The tweets focus more on judicial reform than security issues, with a heavy emphasis on reducing judicial oversight and increasing parliamentary power.', 'score': 80}","{'analysis': 'The majority of policy posts focus on judicial and economic issues, with less emphasis on national security concerns.', 'score': 70}","{'analysis': 'The tone towards government oversight, particularly the judiciary, becomes increasingly hostile and critical, seeking to reduce its influence.', 'score': 8}","{'analysis': 'There is a clear shift in emphasis from individual rights towards prioritizing the collective identity of Israel as a Jewish nation-state, with less concern for civil liberties.', 'score': 6}","{'analysis': ""References to international law and institutions are generally negative, with an effort to assert Israel's sovereignty and independence from external oversight."", 'score': -60}","{'analysis': 'There is no significant discussion of defense spending or security budgets, with the focus remaining on economic and judicial reforms.', 'score': 3}","{'analysis': 'The tweets express support for increasing the power of the legislative branch at the expense of the judiciary, suggesting a shift towards greater executive authority.', 'score': 3}","{'analysis': 'Judicial reform is clearly the top priority, with little to no emphasis on security-related issues or reforms.', 'score': 90}","{'analysis': 'There is a concerning trend of downplaying the importance of civil liberties and individual rights, especially in the context of emergency situations.', 'score': 7}","{'analysis': 'The focus is overwhelmingly on domestic policy issues, particularly judicial and economic reforms, with little attention paid to international relations or foreign policy.', 'score': 90}"
